user,time slot,region,ground truth,sensing traffic,prediction,noise(pp),with accident
11,47,31,0.0,0.0,0.0,0.0,0.0
11,113,9,160.0,160.0,192.0,0.0,0.0
12,2,10,190.0,190.0,198.0,0.0,0.0
12,50,27,99.0,99.0,80.0,0.0,0.0
12,9,13,172.0,172.0,161.0,0.0,0.0
12,89,7,104.0,104.0,152.0,0.0,0.0
12,117,7,101.0,101.0,85.0,0.0,0.0
12,16,29,4.0,4.0,5.0,0.0,0.0
12,53,21,201.0,201.0,181.0,0.0,0.0
12,38,1,59.0,59.0,54.0,0.0,0.0
12,70,12,28.0,28.0,17.0,0.0,0.0
12,113,2,53.0,53.0,50.0,0.0,0.0
12,94,2,56.0,56.0,60.0,0.0,0.0
12,18,24,70.0,70.0,92.0,0.0,0.0
12,75,1,32.0,32.0,39.0,0.0,0.0
12,54,5,115.0,115.0,107.0,0.0,0.0
12,112,8,109.0,109.0,111.0,0.0,0.0
12,81,31,0.0,0.0,0.0,0.0,0.0
12,45,4,89.0,89.0,100.0,0.0,0.0
12,10,0,61.0,61.0,64.0,0.0,0.0
12,31,11,14.0,14.0,11.0,0.0,0.0
12,56,2,88.0,88.0,94.0,0.0,0.0
12,80,5,12.0,12.0,16.0,0.0,0.0
12,47,30,69.0,69.0,72.0,0.0,0.0
12,104,21,86.0,86.0,86.0,0.0,0.0
12,67,30,62.0,62.0,52.0,0.0,0.0
12,7,16,106.0,106.0,108.0,0.0,0.0
12,48,30,66.0,66.0,69.0,0.0,0.0
12,52,8,233.0,233.0,222.0,0.0,0.0
12,1,29,5.0,5.0,5.0,0.0,0.0
12,110,1,44.0,44.0,47.0,0.0,0.0
12,41,17,0.0,0.0,1.0,0.0,0.0
13,54,16,98.0,98.0,79.0,0.0,0.0
13,90,3,30.0,30.0,35.0,0.0,0.0
13,96,24,85.0,85.0,89.0,0.0,0.0
13,60,27,66.0,66.0,74.0,0.0,0.0
13,11,8,186.0,186.0,192.0,0.0,0.0
13,86,20,250.0,250.0,267.0,0.0,0.0
13,63,4,56.0,56.0,65.0,0.0,0.0
13,97,16,44.0,44.0,53.0,0.0,0.0
13,29,25,2.0,2.0,5.0,0.0,0.0
13,69,3,60.0,60.0,74.0,0.0,0.0
13,112,7,97.0,97.0,102.0,0.0,0.0
13,51,28,10.0,10.0,13.0,0.0,0.0
13,35,3,16.0,16.0,16.0,0.0,0.0
13,80,18,18.0,18.0,16.0,0.0,0.0
13,2,30,75.0,75.0,70.0,0.0,0.0
13,15,29,2.0,2.0,6.0,0.0,0.0
13,34,17,0.0,0.0,1.0,0.0,0.0
13,85,1,37.0,37.0,34.0,0.0,0.0
13,5,18,233.0,233.0,250.0,0.0,0.0
13,0,17,0.0,0.0,1.0,0.0,0.0
13,32,29,0.0,0.0,1.0,0.0,0.0
13,50,20,352.0,352.0,365.0,0.0,0.0
13,67,29,5.0,5.0,5.0,0.0,0.0
13,74,2,31.0,31.0,34.0,0.0,0.0
13,118,5,68.0,68.0,60.0,0.0,0.0
13,98,5,70.0,70.0,81.0,0.0,0.0
13,56,12,34.0,34.0,40.0,0.0,0.0
13,13,12,24.0,24.0,50.0,0.0,1.0
